code,descripcion,costo,precio1,precio2,precio3,precio4,precio5
77955449,RHOTMANS LARGO MENTOLADO ,178,0,0,0,0,0
77955487,KINDER HUEVO,30,0,0,0,0,0
77956002,TOP LINE MENTA,"7,5",0,0,0,0,0
77956699,ALFAJOR TRISHOT ,640,0,0,0,0,0
77956712,BON O BON X 12 U.,66,0,0,0,0,0
77957276,DERBY SUAVE 10 ,"12,98",0,0,0,0,0
77957283,DERBY 10 ,"5,9",0,0,0,0,0
77957443,HUEVO TOYS MUNDIAL X UD,11,0,0,0,0,0
77957610,MENTHOPLUS VITAMIN,5,0,0,0,0,0
77957627,TOP LINE MENTA,"2,9",0,0,0,0,0
77957634,TOPLINE,"2,8",0,0,0,0,0
77957702,MENTHOPLUS MENTA ,"3,5",0,0,0,0,0
77958099,TOFI BROWNIE X 30 UNID,"0,46",0,0,0,0,0
77958105,VIMAR MOUSE X2,3,0,0,0,0,0
77958198,LUCKY STRIKY USA ,570,0,0,0,0,0
77958211,CONEJO BONOBON X50GR.,70,0,0,0,0,0
77958228,REPOP LULE MUU,160,0,0,0,0,0
77958310,VIMAR GLASEADO X38G,123,0,0,0,0,0
77958327,VIMAR GLASEADO X38G,123,0,0,0,0,0
77958341,VIMAR TRIPLE X60G,187,0,0,0,0,0
77958365,VIMAR TRIPLE X60G,187,0,0,0,0,0
77958396,ALF TOFI X 3,"0,5282",0,0,0,0,0
77958532,MENTHO PLUS ,"8,5",0,0,0,0,0
77958549,MENTHOPLUS VITAC ,24,0,0,0,0,0
77958556,CEREAL MIX ARCOR X 4 U.,5,0,0,0,0,0
77958563,CHOCOLATIN X 17 U.,17,0,0,0,0,0
77958570,ARCOR X 17 U.,17,0,0,0,0,0
77958624,MENTHOPLUS,259,0,0,0,0,0
77958631,MENTHOPLUS,259,0,0,0,0,0
77958648,MENTHOPLUS,259,0,0,0,0,0
77958655,MENTHOPLUS ,108,0,0,0,0,0
77958662,MENTHOPLUS,193,0,0,0,0,0
77958839,CONEJITOS BON O BON X 20GR,"3,4",0,0,0,0,0
77958921,BON O BON X 5 U.,125,0,0,0,0,0
77958938,BON O BON X 12 U.,65,0,0,0,0,0
